Código,Nombre de la subdivisión en la ISO[1]​
ES-AN,Andalucía
ES-AR,Aragón
ES-AS,"Asturias, Principado de"
ES-CN,Canarias
ES-CB,Cantabria
ES-CM,Castilla-La Mancha
ES-CL,Castilla y León
ES-CT,Catalunya (Cataluña)[nota 1]​
ES-EX,Extremadura
ES-GA,Galicia (Galicia)[nota 1]​
ES-IB,Illes Balears (Islas Baleares)[nota 1]​
ES-RI,La Rioja
ES-MD,"Madrid, Comunidad de"
ES-MC,"Murcia, Región de"
ES-NC,"Navarra, Comunidad Foral de/Nafarroako Foru Komunitatea[nota 2]​"
ES-PV,País Vasco/Euskadi[nota 2]​
ES-VC,"Valenciana, Comunidad/Valenciana, Comunitat[nota 2]​"
